,remove_outliers,remove_missing,scale,resample,test_max_mean,optimised_cutoff
24,False,drop,standard,none,0.40375586854460094,0.13333333333333333
60,True,drop,standard,none,0.40375586854460094,0.13333333333333333
0,False,drop,minmax,none,0.39709443099273606,0.13333333333333333
36,True,drop,minmax,none,0.39709443099273606,0.13333333333333333
51,True,drop,none,down,0.38395415472779365,0.3866666666666667
15,False,drop,none,down,0.38395415472779365,0.3866666666666667
38,True,drop,minmax,up,0.3761996161228407,0.25333333333333335
2,False,drop,minmax,up,0.3761996161228407,0.25333333333333335
3,False,drop,minmax,down,0.3760330578512397,0.32
39,True,drop,minmax,down,0.3760330578512397,0.32
63,True,drop,standard,down,0.37119113573407203,0.3866666666666667
27,False,drop,standard,down,0.37119113573407203,0.3866666666666667
62,True,drop,standard,up,0.36942675159235666,0.32
26,False,drop,standard,up,0.36942675159235666,0.32
50,True,drop,none,up,0.3455497382198953,0.3866666666666667
14,False,drop,none,up,0.3455497382198953,0.3866666666666667
48,True,drop,none,none,0.34146341463414637,0.06666666666666667
12,False,drop,none,none,0.34146341463414637,0.06666666666666667
35,False,impute_median,standard,down,0.33808553971486766,0.32
71,True,impute_median,standard,down,0.33808553971486766,0.32
67,True,impute_mean,standard,down,0.33766233766233766,0.3866666666666667
31,False,impute_mean,standard,down,0.33766233766233766,0.3866666666666667
4,False,impute_mean,minmax,none,0.3374233128834356,0.2
40,True,impute_mean,minmax,none,0.3374233128834356,0.2
30,False,impute_mean,standard,up,0.33617021276595743,0.32
66,True,impute_mean,standard,up,0.33617021276595743,0.32
8,False,impute_median,minmax,none,0.33490566037735847,0.13333333333333333
44,True,impute_median,minmax,none,0.33490566037735847,0.13333333333333333
10,False,impute_median,minmax,up,0.33149171270718236,0.25333333333333335
46,True,impute_median,minmax,up,0.33149171270718236,0.25333333333333335
70,True,impute_median,standard,up,0.3305084745762712,0.32
34,False,impute_median,standard,up,0.3305084745762712,0.32
6,False,impute_mean,minmax,up,0.3302411873840445,0.25333333333333335
42,True,impute_mean,minmax,up,0.3302411873840445,0.25333333333333335
9,False,impute_median,minmax,smote,0.3231707317073171,0.32
45,True,impute_median,minmax,smote,0.3231707317073171,0.32
11,False,impute_median,minmax,down,0.3217821782178218,0.3866666666666667
47,True,impute_median,minmax,down,0.3217821782178218,0.3866666666666667
41,True,impute_mean,minmax,smote,0.3216995447647951,0.32
5,False,impute_mean,minmax,smote,0.3216995447647951,0.32
65,True,impute_mean,standard,smote,0.32132132132132135,0.32
29,False,impute_mean,standard,smote,0.32132132132132135,0.32
7,False,impute_mean,minmax,down,0.3211920529801325,0.25333333333333335
43,True,impute_mean,minmax,down,0.3211920529801325,0.25333333333333335
52,True,impute_mean,none,none,0.3185011709601873,0.13333333333333333
16,False,impute_mean,none,none,0.3185011709601873,0.13333333333333333
69,True,impute_median,standard,smote,0.31666666666666665,0.25333333333333335
33,False,impute_median,standard,smote,0.31666666666666665,0.25333333333333335
56,True,impute_median,none,none,0.3127962085308057,0.13333333333333333
20,False,impute_median,none,none,0.3127962085308057,0.13333333333333333
23,False,impute_median,none,down,0.3121693121693122,0.3866666666666667
59,True,impute_median,none,down,0.3121693121693122,0.3866666666666667
68,True,impute_median,standard,none,0.3116883116883117,0.06666666666666667
32,False,impute_median,standard,none,0.3116883116883117,0.06666666666666667
28,False,impute_mean,standard,none,0.3111831442463533,0.06666666666666667
64,True,impute_mean,standard,none,0.3111831442463533,0.06666666666666667
54,True,impute_mean,none,up,0.31100478468899523,0.3866666666666667
18,False,impute_mean,none,up,0.31100478468899523,0.3866666666666667
55,True,impute_mean,none,down,0.3048128342245989,0.3866666666666667
19,False,impute_mean,none,down,0.3048128342245989,0.3866666666666667
22,False,impute_median,none,up,0.3024390243902439,0.3866666666666667
58,True,impute_median,none,up,0.3024390243902439,0.3866666666666667
57,True,impute_median,none,smote,0.29984544049459044,0.32
21,False,impute_median,none,smote,0.29984544049459044,0.32
53,True,impute_mean,none,smote,0.29573170731707316,0.32
17,False,impute_mean,none,smote,0.29573170731707316,0.32
49,True,drop,none,smote,0.2935010482180293,0.3866666666666667
13,False,drop,none,smote,0.2935010482180293,0.3866666666666667
1,False,drop,minmax,smote,0.2886178861788618,0.3866666666666667
37,True,drop,minmax,smote,0.2886178861788618,0.3866666666666667
61,True,drop,standard,smote,0.28631578947368425,0.3866666666666667
25,False,drop,standard,smote,0.28631578947368425,0.3866666666666667
